020000010; 021000010; 2.44953948658e-05
020000010; 020001010; 2.44953948658e-05
020000010; 020010010; 2.44953948658e-05
020000010; 020100010; 2.44953948658e-05
002001021; 012001021; 1.00804094098e-08
002001021; 002001121; 1.00804094098e-08
002001021; 002101021; 1.00804094098e-08
002001021; 002011021; 1.00804094098e-08
002001021; 102001021; 1.00804094098e-08
110010220; 110210220; 2.80011372494e-10
110010220; 110012220; 2.80011372494e-10
110010220; 110010222; 2.80011372494e-10
110010220; 112010220; 2.80011372494e-10
120011122; 120211122; 5.76155087436e-13
120011122; 122011122; 5.76155087436e-13
001000020; 001001020; 2.44953948658e-05
001000020; 001000021; 2.44953948658e-05
001000020; 101000020; 2.44953948658e-05
001000020; 001000120; 2.44953948658e-05
001000020; 011000020; 2.44953948658e-05
001000020; 001010020; 2.44953948658e-05
001000020; 001100020; 2.44953948658e-05
012101212; 212101212; 5.76155087436e-13
012101212; 012121212; 5.76155087436e-13
101022001; 101022021; 2.80011372494e-10
101022001; 101222001; 2.80011372494e-10
101022001; 101022201; 2.80011372494e-10
101022001; 121022001; 2.80011372494e-10
112221120; 112221121; 6.40172319373e-14
021102121; 021122121; 5.76155087436e-13
021102121; 221102121; 5.76155087436e-13
221121210; 221121211; 6.40172319373e-14
021100221; 021101221; 1.03707915738e-11
021100221; 121100221; 1.03707915738e-11
021100221; 021110221; 1.03707915738e-11
000102001; 000102201; 4.5361842344e-07
000102001; 200102001; 4.5361842344e-07
000102001; 020102001; 4.5361842344e-07
000102001; 000122001; 4.5361842344e-07
000102001; 002102001; 4.5361842344e-07
000102001; 000102021; 4.5361842344e-07
021012021; 121012021; 1.03707915738e-11
021012021; 021112021; 1.03707915738e-11
021012021; 021012121; 1.03707915738e-11
020011210; 220011210; 2.80011372494e-10
020011210; 020011212; 2.80011372494e-10
020011210; 022011210; 2.80011372494e-10
020011210; 020211210; 2.80011372494e-10
000010210; 000210210; 4.5361842344e-07
000010210; 200010210; 4.5361842344e-07
000010210; 020010210; 4.5361842344e-07
000010210; 002010210; 4.5361842344e-07
000010210; 000010212; 4.5361842344e-07
000010210; 000012210; 4.5361842344e-07
020011212; 021011212; 1.03707915738e-11
